CAPA Owner,CAPA Number,T2 Linked Source,T7 CAPA Reference,Date Opened,Overall Due,H_Extension Request Counter,Title,Vault,Product Involved?,Site List,T2 Event Location or Site,Product Line,APi #1,Lot #1,APi #2,Lot #2,APi #3,Lot #3,Department,Step Name,Step Due Date,Related to Deviation?,Customer Notification (CA),Customer Notification (PA)
user85,CAPA26011302,,,01/13/2026,5/15/2026 8:27:24 PM,1.0,Quality System Enhancement,CAPA Forms Open,No,,USA,,,,,,,,Laboratory Services,Quality Board Review,08/27/2026,,,
user69,CAPA26011401,DEV260345,,01/14/2026,5/16/2026 8:00:54 PM,2.0,Process Documentation Review,CAPA Forms Open,No,,USA,,,,,,,,Production,Verification Review,09/30/2026,,,
user88,CAPA26011501,,,01/15/2026,5/17/2026 3:09:47 AM,1.0,Workflow Optimization Initiative,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Action Plan Review,03/27/2026,,,
user30,CAPA26011601,,,01/16/2026,5/18/2026 9:51:51 PM,1.0,Inventory Control Improvement,CAPA Forms Open,Yes,,USA,NCE,A9689,261027-9919,,,,,Quality Systems,Execution Tracking,10/30/2026,,,
user44,CAPA26012001,,,01/20/2026,5/22/2026 6:20:04 PM,1.0,Training Effectiveness Review,CAPA Forms Open,No,,USA,,,,,,,,Inventory,Cause Analysis,09/30/2026,,Does Not Accept the CA,
user23,CAPA26012301,,,01/23/2026,5/25/2026 3:27:32 AM,0.0,Quality System Enhancement,CAPA Forms Open,No,,China,,,,,,,,Infrastructure,Action Plan Review,04/26/2026,,,
user61,CAPA26012701,,,01/27/2026,5/29/2026 4:38:58 AM,1.0,Workflow Optimization Initiative,CAPA Forms Open,No,,China,,,,,,,,质量管理组,Action Plan Review,08/29/2026,,,
user81,CAPA26012801,,,01/28/2026,5/30/2026 2:26:05 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,Yes,,China,NCE,A9530,260609-1043,,,,,原料检测组,Verification Review,04/07/2026,,Accepts the CA,Accepts the PA
user40,CAPA26012802,,,01/28/2026,5/30/2026 3:12:28 AM,0.0,Quality System Enhancement,CAPA Forms Open,Yes,,China,Commercial/Generic,A5464,261021-6294,,,,,原料检测组,Execution Tracking,05/14/2026,,Accepts the CA,Accepts the PA
user01,CAPA26012803,,,01/28/2026,5/30/2026 4:57:39 AM,0.0,Process Documentation Review,CAPA Forms Open,Yes,,China,NCE,A9656,260109-1965,,,,,质量管理组,Verification Review,05/09/2026,,,
user49,CAPA26012804,,,01/28/2026,5/30/2026 7:41:28 PM,2.0,Equipment Lifecycle Assessment,CAPA Forms Open,No,,USA,,,,,,,,Laboratory Services,Quality Board Review,10/31/2026,,,
user24,CAPA26013001,DEV260287,,01/30/2026,6/1/2026 7:39:47 AM,0.0,Process Documentation Review,CAPA Forms Open,Yes,,China,NCE,A3098,260112-8772,,,,,成品检测组,Verification Review,09/23/2026,OF6URHDCZFB3HMNXYI,,
user39,CAPA26013002,,,01/30/2026,6/1/2026 12:52:18 PM,2.0,Quality System Enhancement,CAPA Forms Open,No,,USA,,,,,,,,Quality Systems,Verification Review,10/30/2026,,,
user37,CAPA26020301,DEV260199,,02/03/2026,6/5/2026 4:18:48 PM,0.0,Quality System Enhancement,CAPA Forms Open,No,,USA,,,,,,,,Inventory,Quality Board Review,05/12/2026,,Does Not Accept the CA,
user90,CAPA26020401,DEV261065,,02/04/2026,6/6/2026 12:57:14 PM,0.0,Equipment Lifecycle Assessment,CAPA Forms Open,No,,USA,,,,,,,,Laboratory Services,Execution Tracking,08/20/2026,,,
user27,CAPA26020502,DEV260472,,02/05/2026,6/7/2026 2:12:35 AM,1.0,质量体系提升行动,CAPA Forms Open,Yes,,China,Commercial/Generic,A6259,261221-9623,,,,,成品检测组,Cause Analysis,03/03/2026,5KSEJVADZFEL5FN7IE,,Accepts the PA
,CAPA26020601,,,02/06/2026,6/8/2026 8:37:45 AM,0.0,,CAPA Forms Open,,,,,,,,,,,,Action Plan Review,02/26/2026,,,
user78,CAPA26020801,,,02/08/2026,6/10/2026 4:48:23 AM,0.0,Process Documentation Review,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Execution Tracking,08/22/2026,,,
user03,CAPA26020901,,,02/09/2026,6/11/2026 3:17:57 AM,0.0,Inventory Control Improvement,CAPA Forms Open,No,,China,,,,,,,,工程管理组,Cause Analysis,04/10/2026,,,
user51,CAPA26021101,DEV260581,,02/11/2026,6/13/2026 4:07:44 AM,0.0,Quality System Enhancement,CAPA Forms Open,No,,China,,,,,,,,质量管理组,Action Plan Review,09/18/2026,J5TZVMXTXBCQTEQAAR,,
user32,CAPA26021102,,,02/11/2026,6/13/2026 6:10:28 AM,0.0,设备维护优化计划,CAPA Forms Open,No,,,,,,,,,,生产支持组,Quality Board Review,04/13/2026,,,
user10,CAPA26021103,DEV260608,,02/11/2026,6/13/2026 6:47:50 AM,0.0,培训管理优化方案,CAPA Forms Open,No,,China,,,,,,,,成品检测组,Quality Board Review,03/14/2026,,,
,CAPA26021104,DEV260549,,02/11/2026,6/13/2026 8:38:49 AM,1.0,,CAPA Forms Open,,,,,,,,,,,,Execution Tracking,03/03/2026,,,
user14,CAPA26021105,,,02/11/2026,6/13/2026 8:39:44 AM,0.0,文件记录审核改善,CAPA Forms Open,No,,,,,,,,,,Quality Systems,Quality Board Review,07/19/2026,,,
user12,CAPA26021106,,,02/11/2026,6/13/2026 9:06:54 AM,0.0,设备维护优化计划,CAPA Forms Open,No,,,,,,,,,,Engineering,Action Plan Review,03/03/2026,,,
user48,CAPA26021107,,,02/11/2026,6/13/2026 9:17:41 AM,0.0,质量体系提升行动,CAPA Forms Open,No,,,,,,,,,,质量管理组,Cause Analysis,03/03/2026,,,
user65,CAPA26021108,,,02/11/2026,6/13/2026 9:23:26 AM,0.0,设备维护优化计划,CAPA Forms Open,Yes,,China,NCE,A4818,260727-5770,,,,,工程管理组,Cause Analysis,03/14/2026,,,
user21,CAPA26021109,,,02/11/2026,6/13/2026 9:29:59 AM,0.0,设备维护优化计划,CAPA Forms Open,No,,,,,,,,,,质量管理组,Cause Analysis,09/22/2026,,,
user72,CAPA26021110,,,02/11/2026,6/13/2026 9:33:42 AM,0.0,设备维护优化计划,CAPA Forms Open,No,,,,,,,,,,质量管理组,Action Plan Review,09/22/2026,,,
user95,CAPA26021601,DEV260240,,02/16/2026,6/18/2026 9:40:48 PM,1.0,Training Effectiveness Review,CAPA Forms Open,No,,USA,,,,,,,,Inventory,Execution Tracking,08/29/2026,,,
user61,CAPA26021701,,,02/17/2026,6/19/2026 6:13:57 PM,0.0,Training Effectiveness Review,CAPA Forms Open,No,,USA,,,,,,,,Quality Systems,Execution Tracking,06/21/2026,,,
user90,CAPA26021702,,,02/17/2026,6/19/2026 7:44:30 PM,2.0,Quality System Enhancement,CAPA Forms Open,No,,USA,,,,,,,,Inventory,Cause Analysis,09/04/2026,,,
user58,CAPA26021801,DEV261216,,02/18/2026,6/20/2026 3:12:17 PM,0.0,Process Documentation Review,CAPA Forms Open,No,,USA,,,,,,,,Production,Quality Board Review,05/23/2026,,,
user91,CAPA26022401,,,02/24/2026,6/26/2026 1:29:26 PM,2.0,Workflow Optimization Initiative,CAPA Forms Open,No,,USA,,,,,,,,Infrastructure,Action Plan Review,09/25/2026,,,
user20,CAPA26022801,,,02/28/2026,6/30/2026 6:07:19 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,Yes,,China,Commercial/Generic,A7023,261227-6397,,,,,成品检测组,Quality Board Review,06/28/2026,,,Accepts the PA
user26,CAPA26022802,DEV260247,,02/28/2026,6/30/2026 7:24:20 AM,0.0,风险控制跟进行动,CAPA Forms Open,Yes,,China,Commercial/Generic,A1182,260503-1877,,,,,工程管理组,Verification Review,07/10/2026,LPRZLHU54RBATA2OP2,,
,CAPA26031101,DEV261175,,03/11/2026,7/11/2026 5:19:29 AM,0.0,Process Documentation Review,CAPA Forms Open,,,China,,,,,,,,,Cause Analysis,03/31/2026,,,
user91,CAPA26031102,,,03/11/2026,7/11/2026 4:55:31 PM,2.0,Process Documentation Review,CAPA Forms Open,Yes,,USA,Drug Product,A2504,260319-8092,,,,,Quality Systems,Quality Board Review,08/31/2026,,Does Not Accept the CA,
user12,CAPA26031701,DEV260469,,03/17/2026,7/17/2026 3:21:29 AM,1.0,文件记录审核改善,CAPA Forms Open,Yes,,China,Commercial/Generic,A5216,261112-7494,,,,,Infrastructure,Quality Board Review,07/22/2027,MXDRRJKHNREDPC5SRI,Accepts the CA,Accepts the PA
user79,CAPA26032301,,,03/23/2026,7/23/2026 5:06:19 PM,1.0,Equipment Lifecycle Assessment,CAPA Forms Open,Yes,,USA,Commercial/Generic,A1241,,,,,,Infrastructure,Cause Analysis,06/30/2026,,,
user40,CAPA26032503,DEV260479,,03/25/2026,7/25/2026 12:54:18 AM,0.0,Quality System Enhancement,CAPA Forms Open,No,,China,,,,,,,,原料检测组,Cause Analysis,07/03/2026,,,
user51,CAPA26032601,DEV260907,,03/26/2026,7/26/2026 6:58:57 AM,0.0,Training Effectiveness Review,CAPA Forms Open,Yes,,China,Intermediate,A3485,260801-9460,,,,,成品检测组,Action Plan Review,07/08/2026,WIVUZI6Y4NE23FYTVG,Accepts the CA,Accepts the PA
user65,CAPA26032701,,,03/27/2026,7/27/2026 12:53:09 PM,0.0,Inventory Control Improvement,CAPA Forms Open,Yes,,USA,Crude,A6041,260714-2289,,,,,Laboratory Services,Execution Tracking,06/20/2026,,,
user98,CAPA26032702,,,03/27/2026,7/27/2026 8:12:12 PM,0.0,Workflow Optimization Initiative,CAPA Forms Open,No,,USA,,,,,,,,Production,Execution Tracking,07/20/2026,,,
user33,CAPA26033001,,,03/30/2026,7/30/2026 3:29:32 PM,0.0,Process Documentation Review,CAPA Forms Open,No,,USA,,,,,,,,Engineering,Cause Analysis,10/11/2026,,,
user63,CAPA26033101,,,03/31/2026,7/31/2026 11:34:27 AM,0.0,质量体系提升行动,CAPA Forms Open,No,,China,,,,,,,,Inventory,Action Plan Review,06/14/2026,,,
user58,CAPA26033102,,,03/31/2026,7/31/2026 4:03:06 PM,0.0,Process Documentation Review,CAPA Forms Open,No,,USA,,,,,,,,Laboratory Services,Action Plan Review,08/17/2026,,,
user59,CAPA26040101,,,04/01/2026,8/1/2026 7:54:52 AM,2.0,Training Effectiveness Review,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Quality Board Review,06/07/2026,,Accepts the CA,Accepts the PA
user45,CAPA26040901,,,04/09/2026,8/9/2026 1:48:05 AM,0.0,Inventory Control Improvement,CAPA Forms Open,Yes,,China,Commercial/Generic,A9818,260624-8831,,,,,质量管理组,Execution Tracking,07/01/2026,,Accepts the CA,
user25,CAPA26041001,,,04/10/2026,8/10/2026 12:20:27 PM,0.0,Process Documentation Review,CAPA Forms Open,No,,USA,,,,,,,,Infrastructure,Cause Analysis,06/30/2026,,,
user75,CAPA26041002,DEV260163,,04/10/2026,8/10/2026 2:08:06 PM,2.0,Equipment Lifecycle Assessment,CAPA Forms Open,No,,USA,,,,,,,,Quality Systems,Execution Tracking,10/11/2026,,,
user85,CAPA26041401,DEV260827,,04/14/2026,8/14/2026 6:25:14 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,Yes,,China,Intermediate,A2745,260922-7410,,,,,原料检测组,Cause Analysis,06/17/2026,YBDGJZS5TBDQLGARKL,Accepts the CA,Accepts the PA
user94,CAPA26041501,DEV260866,,04/15/2026,8/15/2026 4:51:40 AM,0.0,Quality System Enhancement,CAPA Forms Open,No,,China,,,,,,,,原料检测组,Execution Tracking,06/14/2026,LA6HLLTVUJCUTAKXA4,,
,CAPA26042302,,,04/23/2026,8/23/2026 8:02:10 PM,1.0,Equipment Lifecycle Assessment,CAPA Forms Open,No,,USA,,,,,,,,,Verification Review,08/28/2026,,,
user28,CAPA26042701,,,04/27/2026,8/27/2026 3:48:13 PM,0.0,Training Effectiveness Review,CAPA Forms Open,No,,USA,,,,,,,,Production,Execution Tracking,08/28/2026,,,
user08,CAPA26042802,,,04/28/2026,8/28/2026 9:17:47 AM,0.0,Process Documentation Review,CAPA Forms Open,No,,China,,,,,,,,工程管理组,Cause Analysis,06/27/2026,,Does Not Accept the CA,
user83,CAPA26051201,DEV261139,,05/12/2026,9/11/2026 5:04:57 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Verification Review,09/06/2026,,,
user09,CAPA26051502,DEV260155,,05/15/2026,9/14/2026 6:36:39 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,Yes,,China,NCE,,260828-8902,,,,,工程管理组,Verification Review,07/17/2026,2GJ7GWD2UVHEPNO4BJ,,
user83,CAPA26051801,,,05/18/2026,9/17/2026 10:06:41 AM,0.0,设备维护优化计划,CAPA Forms Open,No,,China,,,,,,,,工程管理组,Verification Review,08/30/2026,,,Accepts the PA
user03,CAPA26052201,DEV260711,,05/22/2026,9/21/2026 1:40:54 AM,0.0,文件记录审核改善,CAPA Forms Open,No,,China,,,,,,,,Engineering,Quality Board Review,07/21/2026,5ACPD6JAWNGZ3M3LAS,,
user14,CAPA26052501,DEV260397,,05/25/2026,9/24/2026 4:32:11 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,Yes,,China,NCE,A9486,260320-8472,,,,,原料检测组,Verification Review,09/06/2026,,,
user29,CAPA26052701,,,05/27/2026,9/26/2026 1:50:39 PM,1.0,Inventory Control Improvement,CAPA Forms Open,Yes,,USA,Commercial/Generic,A5641,,,,,,Infrastructure,Execution Tracking,03/31/2027,,,
user43,CAPA26052702,DEV261212,,05/27/2026,9/26/2026 3:04:58 PM,1.0,Training Effectiveness Review,CAPA Forms Open,No,,USA,,,,,,,,Inventory,Quality Board Review,09/16/2026,,,
user93,CAPA26052801,,,05/28/2026,9/27/2026 1:40:39 PM,1.0,Training Effectiveness Review,CAPA Forms Open,No,,USA,,,,,,,,Quality Systems,Cause Analysis,01/31/2027,,,
user23,CAPA26052901,DEV260961,,05/29/2026,9/28/2026 6:55:32 AM,0.0,风险控制跟进行动,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Execution Tracking,08/08/2026,,,Accepts the PA
user06,CAPA26053101,DEV260226,,05/31/2026,9/30/2026 3:02:38 AM,0.0,文件记录审核改善,CAPA Forms Open,Yes,,China,NCE,A5861,261023-8827,,,,,质量管理组,Execution Tracking,08/15/2026,,,Accepts the PA
user33,CAPA26060101,,,06/01/2026,10/1/2026 2:07:46 AM,1.0,Equipment Lifecycle Assessment,CAPA Forms Open,No,,China,,,,,,,,质量管理组,Action Plan Review,08/30/2026,,,
user97,CAPA26060301,,,06/03/2026,10/3/2026 8:19:23 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,No,,China,,,,,,,,工程管理组,Cause Analysis,08/02/2026,,,
user32,CAPA26060402,DEV260617,,06/04/2026,10/4/2026 3:22:49 AM,0.0,Inventory Control Improvement,CAPA Forms Open,Yes,,China,Commercial/Generic,A4450,261106-3918,,,,,生产支持组,Action Plan Review,07/25/2026,NVAQ6ZYGMBC6JIKMTK,,
user61,CAPA26060403,,,06/04/2026,10/4/2026 5:17:47 PM,1.0,Workflow Optimization Initiative,CAPA Forms Open,No,,USA,,,,,,,,Engineering,Execution Tracking,09/30/2026,,,
user71,CAPA26060501,DEV261183,,06/05/2026,10/5/2026 3:57:43 AM,0.0,生产流程改进项目,CAPA Forms Open,No,,China,,,,,,,,Quality Systems,Execution Tracking,08/04/2026,MIABKTKCDVFFRM5LAJ,,
user32,CAPA26060502,DEV260273,,06/05/2026,10/5/2026 6:18:20 AM,0.0,Inventory Control Improvement,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Action Plan Review,08/24/2026,UW5R22SS3FBRHE4C3E,Accepts the CA,Accepts the PA
user76,CAPA26060801,DEV261184,,06/08/2026,10/8/2026 5:01:34 AM,1.0,Quality System Enhancement,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Cause Analysis,12/13/2026,2CZJENEPLFHEZJHJAF,,
user87,CAPA26060802,,,06/08/2026,10/8/2026 5:32:23 AM,1.0,文件记录审核改善,CAPA Forms Open,No,,China,,,,,,,,原料检测组,Action Plan Review,08/16/2026,,,
user90,CAPA26060803,DEV260671,,06/08/2026,10/8/2026 5:58:42 AM,0.0,Training Effectiveness Review,CAPA Forms Open,Yes,,China,Commercial/Generic,A5248,260725-9874,,,,,原料检测组,Verification Review,08/10/2026,,,
user88,CAPA26060804,,,06/08/2026,10/8/2026 11:26:19 AM,0.0,Inventory Control Improvement,CAPA Forms Open,No,,China,,,,,,,,Production,Action Plan Review,10/05/2026,,Accepts the CA,
user08,CAPA26060902,,,06/09/2026,10/9/2026 2:44:27 PM,0.0,Quality System Enhancement,CAPA Forms Open,No,,USA,,,,,,,,Engineering,Action Plan Review,09/25/2026,,,
user97,CAPA26061001,DEV261139,,06/10/2026,10/10/2026 5:28:46 AM,0.0,Training Effectiveness Review,CAPA Forms Open,Yes,,China,NCE,A4669,260314-8323,,,,,原料检测组,Quality Board Review,08/25/2026,CHD5QFMCQRD3ZDMDYZ,,Accepts the PA
user85,CAPA26061002,DEV260658,,06/10/2026,10/10/2026 9:53:49 AM,0.0,Quality System Enhancement,CAPA Forms Open,No,,China,,,,,,,,质量管理组,Verification Review,08/09/2026,URATUZFEXRHNPOOISM,,
user12,CAPA26061102,DEV260385,,06/11/2026,10/11/2026 4:24:46 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,Yes,,China,Commercial/Generic,A6769,260921-5433,,,,,Engineering,Verification Review,08/28/2026,,Accepts the CA,Accepts the PA
user28,CAPA26061103,DEV260595,,06/11/2026,10/11/2026 7:46:49 AM,0.0,Quality System Enhancement,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Quality Board Review,07/26/2026,TAEVE3M5C5BGTIDAHS,,
user33,CAPA26061401,DEV261179,,06/14/2026,10/14/2026 4:50:21 AM,0.0,设备维护优化计划,CAPA Forms Open,No,,China,,,,,,,,Engineering,Cause Analysis,08/17/2026,NZRQXKUX3NGJBPKEWW,,
,CAPA26061501,DEV260863,,06/15/2026,10/15/2026 4:40:21 PM,0.0,Quality System Enhancement,CAPA Forms Open,Yes,,USA,Drug Product,A5445,260205-2877,APi1222,250217C,,,,Action Plan Review,07/05/2026,,,
user14,CAPA26061701,,,06/17/2026,10/17/2026 1:16:48 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,No,,China,,,,,,,,成品检测组,Action Plan Review,08/16/2026,,,
user59,CAPA26061702,DEV260927,,06/17/2026,10/17/2026 2:19:34 PM,0.0,Quality System Enhancement,CAPA Forms Open,No,,USA,,,,,,,,Infrastructure,Action Plan Review,10/23/2026,,,
,CAPA26061703,,,06/17/2026,10/17/2026 5:12:35 PM,0.0,Quality System Enhancement,CAPA Forms Open,No,,USA,,,,,,,,,Verification Review,07/07/2026,,,
user77,CAPA26062201,DEV260438,,06/22/2026,10/22/2026 2:38:10 AM,0.0,Quality System Enhancement,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Action Plan Review,08/30/2026,,,
user34,CAPA26062202,,,06/22/2026,10/22/2026 6:33:48 AM,0.0,Quality System Enhancement,CAPA Forms Open,No,,China,,,,,,,,成品检测组,Quality Board Review,08/23/2026,,,
user43,CAPA26062203,,,06/22/2026,10/22/2026 6:37:09 AM,0.0,Equipment Lifecycle Assessment,CAPA Forms Open,No,,China,,,,,,,,原料检测组,Verification Review,08/24/2026,,Accepts the CA,
user17,CAPA26062204,,,06/22/2026,10/22/2026 7:34:00 AM,0.0,Training Effectiveness Review,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Action Plan Review,08/23/2026,,Accepts the CA,
user04,CAPA26062205,,,06/22/2026,10/22/2026 12:14:05 PM,0.0,Process Documentation Review,CAPA Forms Open,No,,USA,,,,,,,,Inventory,Cause Analysis,09/14/2026,,,
user63,CAPA26062303,DEV260781,,06/23/2026,10/23/2026 8:14:26 AM,0.0,Process Documentation Review,CAPA Forms Open,Yes,,China,Commercial/Generic,A5736,261217-8156,,,,,原料检测组,Cause Analysis,08/25/2026,LATXFN3A5RGPDGPLRX,Accepts the CA,Accepts the PA
user12,CAPA26062401,,,06/24/2026,10/24/2026 3:27:47 AM,0.0,Process Documentation Review,CAPA Forms Open,No,,China,,,,,,,,质量管理组,Cause Analysis,08/24/2026,,Accepts the CA,
user23,CAPA26062501,DEV261136,,06/25/2026,10/25/2026 1:51:36 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,No,,China,,,,,,,,原料检测组,Execution Tracking,08/28/2026,,Accepts the CA,
user61,CAPA26062502,,,06/25/2026,10/25/2026 2:55:52 AM,0.0,Process Documentation Review,CAPA Forms Open,No,,China,,,,,,,,质量管理组,Execution Tracking,08/28/2026,,Accepts the CA,
user69,CAPA26062503,DEV260841,,06/25/2026,10/25/2026 3:14:51 AM,0.0,Inventory Control Improvement,CAPA Forms Open,Yes,,China,NCE,A8630,260324-5383,,,,,质量管理组,Cause Analysis,08/24/2026,C45NDTEHUVAVXHAYVV,,
user50,CAPA26062504,,,06/25/2026,10/25/2026 5:35:12 AM,0.0,生产流程改进项目,CAPA Forms Open,No,,China,,,,,,,,原料检测组,Cause Analysis,09/22/2026,,,
user07,CAPA26062601,DEV260884,,06/26/2026,10/26/2026 4:26:36 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,No,,China,,,,,,,,工程管理组,Execution Tracking,08/08/2026,,,
,CAPA26062602,DEV260273,,06/26/2026,10/26/2026 8:10:04 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,Yes,,China,Intermediate,A4229,260414-3180,,,,,,,,GXDPARUGE5HX5LPNZ2,,
,CAPA26062703,,,06/27/2026,10/27/2026 7:04:28 PM,0.0,Workflow Optimization Initiative,CAPA Forms Open,,,USA,,,,,,,,,Cause Analysis,07/17/2026,,,
user72,CAPA26062901,DEV260897,,06/29/2026,10/29/2026 6:53:30 AM,0.0,Quality System Enhancement,CAPA Forms Open,No,,China,,,,,,,,工程管理组,Action Plan Review,08/29/2026,QLIORWKU4VCDHJYBGJ,Accepts the CA,Accepts the PA
,CAPA26063002,,,06/30/2026,10/30/2026 5:43:39 PM,1.0,Training Effectiveness Review,CAPA Forms Open,No,,USA,,,,,,,,,Cause Analysis,10/16/2026,,,
user75,CAPA26070201,DEV260717,,07/02/2026,11/1/2026 7:00:26 AM,0.0,Process Documentation Review,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Quality Board Review,09/01/2026,,,
user47,CAPA26070202,DEV260847,,07/02/2026,11/1/2026 8:40:44 PM,0.0,Inventory Control Improvement,CAPA Forms Open,No,,USA,,,,,,,,Laboratory Services,Action Plan Review,08/27/2026,,,
user13,CAPA26070401,DEV260256,,07/04/2026,11/3/2026 5:32:35 AM,1.0,Equipment Lifecycle Assessment,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Cause Analysis,08/20/2026,,,
user30,CAPA26070601,,,07/06/2026,11/5/2026 12:28:43 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,Yes,,China,NCE,A9623,260622-1991,,,,,工程管理组,Execution Tracking,09/04/2026,,Accepts the CA,
user92,CAPA26070602,DEV260193,,07/06/2026,11/5/2026 5:51:40 AM,1.0,Workflow Optimization Initiative,CAPA Forms Open,No,,China,,,,,,,,质量管理组,Verification Review,08/20/2026,BCK4I4M27RB5FJLQQN,,
user64,CAPA26070603,,,07/06/2026,11/5/2026 12:13:47 PM,0.0,Process Documentation Review,CAPA Forms Open,No,,USA,,,,,,,,Inventory,Execution Tracking,10/18/2026,,,
user60,CAPA26070701,,,07/07/2026,11/6/2026 1:28:07 PM,0.0,Quality System Enhancement,CAPA Forms Open,No,,USA,,,,,,,,Inventory,Action Plan Review,07/27/2026,,,
user77,CAPA26070803,DEV261158,,07/08/2026,11/7/2026 2:36:18 AM,0.0,设备维护优化计划,CAPA Forms Open,No,,China,,,,,,,,Infrastructure,Execution Tracking,09/14/2026,FQZRZPP6RNAJRPWOGP,Does Not Accept the CA,
user65,CAPA26070804,,,07/08/2026,11/7/2026 7:27:33 AM,0.0,Inventory Control Improvement,CAPA Forms Open,No,,China,,,,,,,,质量管理组,Action Plan Review,09/06/2026,,Accepts the CA,
user84,CAPA26070805,,,07/08/2026,11/7/2026 2:50:49 PM,0.0,Quality System Enhancement,CAPA Forms Open,No,,USA,,,,,,,,Production,Execution Tracking,10/19/2026,,,
user52,CAPA26070901,,,07/09/2026,11/8/2026 4:05:58 PM,1.0,Equipment Lifecycle Assessment,CAPA Forms Open,No,,USA,,,,,,,,Production,Action Plan Review,10/19/2026,,,
user26,CAPA26070902,,,07/09/2026,11/8/2026 6:32:00 PM,0.0,Workflow Optimization Initiative,CAPA Forms Open,No,,USA,,,,,,,,Quality Systems,Action Plan Review,10/19/2026,,,
user51,CAPA26071001,DEV260756,,07/10/2026,11/9/2026 6:00:19 AM,0.0,Quality System Enhancement,CAPA Forms Open,No,,China,,,,,,,,Inventory,Action Plan Review,09/14/2026,NRB36ASAHRAYLGLPMZ,,
user08,CAPA26071002,,,07/10/2026,11/9/2026 12:53:47 PM,0.0,Workflow Optimization Initiative,CAPA Forms Open,No,,USA,,,,,,,,Infrastructure,Verification Review,10/23/2026,,,
user36,CAPA26071003,,,07/10/2026,11/9/2026 1:57:15 PM,1.0,Process Documentation Review,CAPA Forms Open,Yes,,USA,NCE,A3010,260912-4655,,,,,Infrastructure,Verification Review,09/25/2026,,,
,CAPA26071301,,,07/13/2026,11/12/2026 7:55:39 PM,0.0,Workflow Optimization Initiative,CAPA Forms Open,Yes,,USA,Intermediate,A4555,,,,,,,Execution Tracking,08/02/2026,,,
user55,CAPA26071401,,,07/14/2026,11/13/2026 3:14:58 AM,0.0,Inventory Control Improvement,CAPA Forms Open,No,,China,,,,,,,,工程管理组,Quality Board Review,09/14/2026,,Accepts the CA,
user16,CAPA26071601,DEV260194,,07/16/2026,11/15/2026 7:31:18 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,No,,China,,,,,,,,原料检测组,Execution Tracking,09/10/2026,,,
user34,CAPA26071701,,,07/17/2026,11/16/2026 2:45:38 PM,0.0,Inventory Control Improvement,CAPA Forms Open,No,,USA,,,,,,,,Laboratory Services,Cause Analysis,10/11/2026,,,
user66,CAPA26072101,DEV261180,,07/21/2026,11/20/2026 3:12:07 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,Yes,,China,NCE,A6469,260607-1140,,,,,成品检测组,Execution Tracking,09/22/2026,HP7APS3JJZFCHFXD4B,Accepts the CA,Accepts the PA
user10,CAPA26072102,,,07/21/2026,11/20/2026 2:14:34 PM,0.0,Workflow Optimization Initiative,CAPA Forms Open,No,,USA,,,,,,,,Quality Systems,Quality Board Review,10/19/2026,,,
user46,CAPA26072301,,,07/23/2026,11/22/2026 1:55:07 AM,0.0,Process Documentation Review,CAPA Forms Open,No,,China,,,,,,,,原料检测组,Action Plan Review,09/25/2026,,,
user99,CAPA26072401,DEV260645,,07/24/2026,11/23/2026 1:23:22 AM,0.0,Inventory Control Improvement,CAPA Forms Open,Yes,,China,NCE,A1434,260423-3807,,,,,工程管理组,Quality Board Review,09/22/2026,RPNIG5GWIBDL7PUPPY,Accepts the CA,Accepts the PA
user72,CAPA26072701,DEV260770,,07/27/2026,11/26/2026 12:56:40 PM,0.0,Inventory Control Improvement,CAPA Forms Open,No,,USA,,,,,,,,Laboratory Services,Cause Analysis,08/01/2026,,,
user06,CAPA26072702,,,07/27/2026,11/26/2026 5:41:29 PM,0.0,Workflow Optimization Initiative,CAPA Forms Open,No,,USA,,,,,,,,Quality Systems,Verification Review,07/30/2026,,,
